a4,a16,a17,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a2,a3,a5,a7,a8,a10,a11,a13,a14,a15,a18,a19,label
25503,821,2,1911,55,46,0.200,17,78,0.750,20,13.100,1700,50.500,36.400,0,0,2.500,1,34,40,105,X126,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
25503,821,2,,55,46,0.300,15,80,0.750,20,6.600,1900,54.900,38.500,0,0,2.500,0.700,34,40,105,X266,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,1
47201,815,9,,62,40,0.433,16,80,,30,6.500,1850,53.800,39.800,0,0,2.800,0.900,40,40,103.870,B7,MODMAT,YES,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
39039,816,9,1910,52,40,0.300,16,75,0.312,30,5.600,1467,55.600,38.800,0,0,2.500,1.300,40,40,108.060,T133,MASSEY,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37351,816,2,1910,50,46,0.300,17,80,0.750,30,0,2100,57.500,42.500,5,0,2.300,0.600,35,40,106.670,J34,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,,1
38039,816,2,1910,50,40,0.267,16.800,76,0.438,28,8.600,1467,53.800,37.600,5,0,2.500,0.800,40,40,103.870,T218,MASSEY,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
35751,827,2,1911,50,46,0.300,16.500,75,0.750,30,0,2600,62.500,37.500,6,0,2.500,0.600,30,40,106.670,X249,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35751,827,9,1911,50,46,0.200,16.500,75,0.750,28,0,2600,62.500,37.500,6,0,2.500,1.100,30,40,106.670,X788,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
47201,802,7,1910,50,45,0.367,12,70,0.750,60,0,1650,60.200,39.800,1.500,0,3,1,40,40,103.220,M372,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,XYLOL,YES,ALBERT70,CATALOG,NORTHUS,0
37000,815,2,1911,65,43,0.333,16,75,1,32,22.700,1750,45.500,31.800,0,0,3,1,38,40,106.660,I320,CHILDCRAFT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37000,815,9,1910,65,43,0.200,16,68,0.750,30,15.500,1750,48.500,35.900,0,0,3,1,38,40,106.600,I337,CHILDCRAFT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
35539,821,2,1911,50,50,0.367,14,80,0.750,40,10.500,1700,52.600,36.800,0,0,2.500,1,38,40,105,X352,HANOVRHOUSE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
35539,821,7,1911,50,50,0.300,15,70,1,30,10,1600,50,40,0,0,2.800,1,38,40,106.660,X67,HANOVRHOUS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
23052,821,7,1911,40,45,0.300,14.500,70,0.625,25,0,1500,59.500,40.500,0,0,2,1,40,40,100,X817,GUIDEPOSTS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
35539,821,2,1911,50,43,0.267,16,75,1,20,15.800,1600,49.500,34.700,0,0,2.500,1,38,40,103.220,X273,HANOVRHOUS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,1
47201,813,9,1911,,45,0.233,15,87,1,,0,1400,62.500,37.500,0,0,2.500,1,40,40,103.220,F108,MODMAT,,YES,BENTON,COATED,COATED,LINE,NO,MOTTER70,CATALOG,NORTHUS,0
38064,813,5,1911,30,45,0.200,14,65,,,0,1600,62.500,37.500,0,0,2.500,0.800,33,40,100,F237,HOMESHOP,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER70,CATALOG,CANADIAN,1
38064,813,1,1911,30,45,0.200,15.500,65,,,5.900,1600,58.800,35.300,0,0,2.500,1.800,33,40,100,F267,HOMESHOP,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER70,CATALOG,CANADIAN,1
35521,813,5,1910,60,38,0.267,16.400,64,0.750,,11,1400,54.900,34.100,0,0,2.500,1,32,40,103.220,S21,USCAV,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,CANADIAN,1
35521,813,1,1911,60,38,0.333,16.500,66,0.750,,6.700,1400,56.200,37.100,0,0,1.100,1.400,32,40,103.220,F492,USCAV,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,CANADIAN,1
37571,824,2,1911,50,45,0.233,16,70,0.812,30,0,2400,58.800,41.200,0,0,1.700,1,30,40,107.400,X799,COLORTIL,NO,YES,BENTON,COATED,COATED,NAPTHA,NO,MOTTER94,TABLOID,CANADIAN,1
35751,824,9,1911,40,45,0.200,15,76,0.812,30,0,2400,62.500,37.500,0,0,1,1,30,40,107.400,X823,COLORTIL,NO,YES,BENTON,COATED,COATED,NAPTHA,YES,MOTTER94,TABLOID,CANADIAN,1
37340,824,2,1911,30,43,0.200,16.300,70,0.812,25,1.200,2200,58.100,40.700,4,0,2,1,30,40,96.875,X163,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35816,827,2,1911,40,41,0.200,15.800,72,1,30,0,2000,62.500,37.500,0,0,2.500,1,30,40,107.400,O4,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,SPIEGEL,CANADIAN,0
37352,827,9,1911,40,42,0.200,14.500,74,1,25,8,2100,57.500,34.500,0,0,2.300,0.700,35,40,107.400,E84,KMART,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,0
37352,827,9,1911,45,42,0.200,14,70,1,20,8,1850,57.500,34.500,0,0,2,0.700,35,40,107.400,E81,KMART,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,0
37352,827,9,1911,50,45,0.300,15,76,1,30,8,2150,57.500,34.500,0,0,2.500,1,35,40,107.400,E72,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,1
37352,827,2,1911,50,45,0.300,15.200,72,1,25,5.900,2150,58.800,35.300,0,0,2.500,1,35,40,107.400,E310,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,1
37080,828,2,1911,35,42,,15,75,0.750,30,0,2100,58.800,41.200,0,0,2,0.800,30,40,107.400,X29,WOOLWORTH,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,0
37157,828,2,1910,30,45,0.233,17,70,0.750,35,0,2200,58.800,41.200,0,0,2.500,1,33,40,106.450,X292,AMES,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,0
37352,815,2,1911,37.500,44,0.200,16,90,0.750,28,20,2050,45,35,0,0,2.400,0.800,35,40,107.400,J9,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,NORTHUS,1
37352,815,9,1911,37.500,44,0.200,16.500,91,0.750,30,21.700,2050,43.500,34.800,0,0,2.700,0.800,35,40,107.400,J582,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,NORTHUS,1
25507,821,2,1911,45,44,0.267,14.100,78,0.625,22,7.600,1510,54.300,38,0,0,2.500,0.700,34,40,114.280,X141,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,,1
25507,821,7,1910,40,44,0.200,14,69,0.625,20,8.500,1510,53.200,38.300,2,0,2.500,0.900,34,40,110,X818,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,,1
37080,828,2,1911,40,47,0.333,17,78,0.750,35,0,2400,58.800,41.200,4,0,2.500,1,30,40,100,V376,WOOLWRTH,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,,0
27490,813,1,1911,30,42,0.200,15.400,64,0.875,,0,1425,63,37,0,0,1,1.300,34,40,107.400,M254,ABBYPRESS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER70,CATALOG,,1
35811,815,2,1910,45,38,,15,80,0.625,30,7,1600,58.100,34.900,0,0,2.500,1.500,30,40,103.220,R5,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,SPIEGEL,CANADIAN,0
35334,816,2,1911,40,43,0.267,16,96,1,28,0,1500,58.800,41.200,2,0,3,0.800,40,40,103.120,J33,BELKS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,TABLOID,,1
35334,816,9,1911,32.500,43,0.200,15,82,1,31,7.600,1500,54.300,38,4,0,2.500,1,40,40,103.120,J43,BELKS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,TABLOID,NORTHUS,1
37869,815,9,1911,37.500,44,0.300,15,85,0.750,34,0,1400,62.500,37.500,0,0,2.800,1,28,40,103.120,I357,SEARS,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37869,815,2,1910,35,44,0.300,16,80,1,32,7,1400,58.100,34.900,0,0,3,1,28,40,103.120,I353,SEARS,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
27490,813,1,1911,30,42,0.200,15.400,64,0.875,,0,1425,61.700,38.300,0,0,1,1.300,34,40,107.400,M254,ABBYPRESS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
35752,824,9,1910,50,43,0.200,16,82,0.875,30,0,2270,55.600,44.400,12,0,2,1,30,40,103.220,X291,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35752,824,2,1910,50,43,0.300,16.300,80,0.812,30,0,2270,55.600,44.400,12,0,1.500,1.500,30,40,103.220,X129,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35794,827,2,1911,60,43,0.267,15.800,57,0.750,24,1.200,1480,58.100,40.700,0,0,1.400,1.700,33,40,103.120,X297,JCPENNY,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,1
35794,827,9,1911,52.500,43,0.233,16.600,58,0.750,20,7.900,1480,56.200,36,0,0,1.700,0.700,33,40,103.120,X146,JCPENNY,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,1
35752,824,2,1910,50,43,0.300,17,87,0.812,35,0,2300,58.800,41.200,0,0,1.300,0.700,30,40,103.220,X129,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
37441,821,2,1911,25,38,0.200,13,75,0.625,25,0,1600,57.500,42.500,0,0,2.500,0.850,30,40,103.120,E303,CENPURCH,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37441,821,7,1911,25,38,0.233,14,70,0.625,25,0,1600,58.800,41.200,5,0,1.700,0.900,30,40,103.120,E68,CENPURCH,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37354,816,9,1911,40,46,0.333,15.900,78,0.500,34,2.400,2000,61,36.600,0,0,2.400,1.300,35,40,103.220,J42,KMART,NO,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,TABLOID,SCANDANAVIAN,1
35335,827,2,1911,45,41,0.333,17,78,0.750,16,14.100,1100,50.500,35.400,0,0,2.500,1,50,40,96.970,X53,BELK,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
37335,827,2,1911,47.500,41,0.233,16.500,72,0.750,20,14.100,1300,50.500,35.400,4,0,2.500,1,50,40,96.970,X821,BELK,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
35870,824,2,1910,40,46,0.200,15,68,0.750,28,0,1700,58.800,41.200,0,0,1,1,33,40,103.220,X118,TOYSRUS,NO,NO,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,1
35870,824,9,1911,40,46,0.267,16.500,68,0.875,25,0,1700,58.800,41.200,0,0,1,1,33,40,103.125,X826,TOYSRUS,NO,NO,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,1
35811,815,9,1911,40,35,0.233,18,85,0.625,30,0,2000,62.500,37.500,0,0,2.500,0.900,30,40,103.125,R23,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,SPIEGEL,CANADIAN,1
35752,824,9,1910,50,43,0.200,17,84,,35,0,2300,55.600,44.400,0,0,2,0.800,30,40,103.220,X291,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37869,802,7,1911,35,38,0.400,12,62,0.750,46,4.700,1400,58.800,36.500,0,0,2,1,28,40,103.125,I354,SEARS,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,ALBERT70,CATALOG,NORTHUS,1
37869,802,2,1911,35,38,0.433,16,70,0.750,50,0,1400,62.500,37.500,0,0,2.800,1.500,28,40,103.125,I358,SEARS,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,ALBERT70,CATALOG,NORTHUS,1
25509,821,7,1911,50,46,0.200,14.600,60,0.625,25,10.500,1750,52.600,36.800,2,0,2.400,0.800,28,40,96.970,X760,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
37386,827,2,1910,40,47,0.333,24.500,78,0.875,30,8.800,2100,54.900,36.300,16,0,2.300,1,40,40,100,E26,KMART,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,SOUTHUS,0
37386,827,9,,40,47,0.350,14.430,76,0.750,16,7.200,2000,51.500,41.200,1,0,2.700,1.400,40,40,100,E84,KMART,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,SOUTHUS,0
37386,827,2,1910,40,39,0.233,15,77,0.750,20,9.400,2000,52.100,38.500,0,0,2.500,1,40,40,103.220,E69,KMART,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,SOUTHUS,1
37386,827,9,1910,40,39,0.200,15,79,0.750,20,11.800,2000,49,39.200,0,0,2.500,1,40,40,103.220,E77,KMART,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,SOUTHUS,1
37386,827,2,1911,,43,0.267,14.200,68,0.750,18,0,2000,62.500,37.500,0,0,2.500,1.200,40,40,106.450,E83,KMART,,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,SOUTHUS,0
37386,827,2,1910,,48,0.233,14,80,0.750,30,0,2000,62.500,37.500,0,0,,,40,40,109.670,E67,KMART,,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,SOUTHUS,0
27386,827,2,1911,,40,0.267,16.400,72,1,26,0,2000,62.500,37.500,0,0,2.500,1,40,40,106.450,E83,KMART,,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,SOUTHUS,0
37386,824,9,1911,40,40,0.350,18.500,85,0.562,30,0,1900,62.500,37.500,4,0,1.800,1.400,40,40,106.450,X791,KMART,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,SOUTHUS,0
37254,821,7,1911,42.500,41,0.300,14,70,0.625,20,2.300,1750,57.500,40,4,0,2.500,0.700,35,40,96.970,E90,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
35457,828,9,1910,35,39,0.200,16.200,84,1,30,0,2100,62.500,37.500,4,0,2,0.900,30,40,94.117,X271,ECKERD,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
47202,813,9,1910,35,45,0.300,14.100,65,1,,0,1500,59.500,40.500,0,0,2.600,1,40,40,109.670,F308,MODMAT,NO,YES,BENTON,COATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
47202,802,2,1910,50,43,0.333,14.020,68,0.750,56,7.400,1800,53.200,39.400,0,0.500,3,1.300,40,40,109.670,T281,MODMAT,NO,YES,BENTON,UNCOATED,UNCOATED,XYLOL,YES,ALBERT70,CATALOG,NORTHUS,1
47202,816,2,1910,67.500,45,0.200,15.500,80,0.500,34,16.300,1683,43.500,40.200,6,0,2.500,1,40,40,109.670,F067,MODMAT,NO,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37163,821,2,1910,55,37,0.267,16,75,0.625,20,5.600,1850,55.600,38.900,0,0,0.800,0.750,33,40,109.670,X405,AMES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37354,821,2,1911,42.500,41,0.200,14,80,0.625,20,7.400,1750,53.200,39.400,0,0,2.100,0.900,35,40,96.970,E91,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
47202,813,1,1910,52.500,45,0.200,15.300,72,0.750,,12.400,1600,51.500,36.100,0,0,2.500,1,40,40,109.670,F615,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
47202,813,10,1910,35,45,0.200,15.200,63,1,,0,1500,59.500,40.500,0,0,2.300,0.900,40,40,109.670,F510,MODMAT,NO,YES,BENTON,COATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
47202,813,5,1910,52.500,45,0.233,16,68,0.750,,0,1600,58.800,41.200,4,0,2.300,0.800,40,40,109.670,F670,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
37355,816,9,1910,49,43,0.350,14.500,74,0.750,23,9.100,1900,56.800,34.100,2,0,0.700,0.200,35,40,103.220,E310,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,,0
47202,813,5,1910,52.500,37,0.233,14,73,0.750,,9.600,1600,53.200,37.200,0,0,2.300,1,40,40,109.670,F670,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
47202,813,9,1910,52.500,43,0.267,15.100,76,0.500,31,6.600,1650,54.900,38.500,0,0,2.500,1.500,40,40,109.670,M402,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
37355,828,9,1910,40,44,0.200,16.100,78,0.938,30,5.600,1800,55.600,38.900,0,0,2,1,35,40,103.220,X18,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,1
47202,813,1,,52.500,37,0.200,15,66,0.750,,13.300,1600,55.600,42.200,0,0,2.400,0.800,40,40,100,F615,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
37355,827,2,1910,40,43,0.350,16.500,72,0.625,20,9.100,2000,56.800,34.100,4,0,2.500,0.500,35,40,103.220,F310,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
37355,827,9,1910,40,43,0.350,16.100,70,0.625,20,11.100,2000,55.600,33.300,4,0,1.800,0.900,35,40,103.220,F72,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
35753,824,9,1910,40,43,0.267,16,80,0.562,30,5.600,1900,55.600,38.900,0,0,2.200,1.300,30,40,103.220,X308,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
25513,821,7,1911,45,45,,14.700,75,0.625,30,15,1734,50,35,2,0,1.500,0.600,34,40,103.220,X720,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
38051,816,2,,60,49,0.333,14.900,77,0.750,27,0,1650,58.800,41.200,0,0,2.500,0.700,33,40,103.330,G404,JCP,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,,1
25514,821,7,1910,55,49,0.267,12.500,70,0.625,30,5.600,1750,55.600,38.900,0,0,2.500,0.900,34,40,106.660,X798,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,,0
25513,821,2,1911,45,45,,15.100,75,0.625,20,15,1750,50,35,0,0,1.600,0.900,34,40,103.220,X160,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,,1
38051,816,9,1910,55,49,0.200,15.600,74,0.750,24,0,1650,58.800,41.200,0,0,2.500,1.700,33,40,103.330,G416,JCP,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,,1
37355,828,2,1911,40,49,0.233,15.300,74,1,34,0,2000,62.500,37.500,0,0,2.200,1,35,40,100,X350,KMART,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
37355,828,9,1911,40,49,0.233,16.800,78,0.938,30,0,2000,62.500,37.500,0,0,2.400,0.900,35,40,100,X264,KMART,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
25515,821,7,1911,42.500,46,0.300,14,77,0.625,42,15.800,1850,49.500,34.600,8,0,1.500,0.800,34,40,100,X838,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
37081,828,1,1911,35,44,0.200,15.500,100,0.875,30,0,2200,53.200,46.800,0,0,0,0,30,40,100,X89,WOOLWORTH,NO,NO,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,0
35534,827,2,1910,42,44,0.300,15,80,1.250,20,16.700,1300,49,34.300,0,0,2.500,0.200,40,40,110,X102,BELK,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,1
35534,827,9,1910,45,44,0.300,15.500,75,1.250,20,14.100,1300,50.500,35.400,0,0,2.500,1.500,40,40,110,X830,BELK,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,1
35754,824,2,1910,50,43,0.300,16,70,0.812,30,3.400,2400,56.800,39.800,0,0,2.500,0.800,30,40,103.125,X118,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35754,824,9,1910,47,43,0.267,16,80,0.562,30,9.100,2400,50.500,40.400,0,0,2.500,1.100,30,40,103.125,X35,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37572,824,2,1911,35,48,0.233,16,76,0.812,30,8.900,1900,49.500,41.600,0,0,2.500,1.200,30,40,103.220,X390,COLORTILE,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37572,824,9,1911,35,48,0.233,16,86,0.562,30,16.100,1900,44.600,39.300,0,0,2.500,1.500,30,40,103.220,X754,COLORTILE,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35814,827,2,1911,35,43,0.233,14,75,1.250,20,7.600,,54.300,38,0,0,2.500,2,33,40,106.660,O2,TARGET,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,SPIEGEL,CANADIAN,1
35814,827,9,1911,37.500,43,0.233,14,80,1.250,20,6.250,,52.100,41.700,0,0,3,1.500,33,40,106.660,3,TARGET,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,SPIEGEL,CANADIAN,1
37822,813,1,1910,40,44,0.200,15,68,0.750,,0,1750,58.800,41.200,0,0,2.700,0.700,35,40,103.125,F103,BESTPROD,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
